,Q29
4,"25,000-29,999"
8,"100,000-124,999"
9,"100,000-124,999"
14,"200,000-249,999"
17,"200,000-249,999"
18,"150,000-199,999"
19,"90,000-99,999"
20,"30,000-39,999"
21,"30,000-39,999"
26,"30,000-39,999"
28,"3,000-3,999"
30,"50,000-59,999"
33,"125,000-149,999"
34,"15,000-19,999"
36,"50,000-59,999"
41,"5,000-7,499"
42,"10,000-14,999"
44,"30,000-39,999"
46,"20,000-24,999"
49,"3,000-3,999"
58,"25,000-29,999"
64,$0-999
72,"50,000-59,999"
75,"3,000-3,999"
76,"7,500-9,999"
80,"4,000-4,999"
82,"100,000-124,999"
83,"25,000-29,999"
84,$0-999
85,"80,000-89,999"
98,"20,000-24,999"
99,"15,000-19,999"
103,"3,000-3,999"
115,$0-999
120,"90,000-99,999"
122,$0-999
124,"4,000-4,999"
126,"3,000-3,999"
128,"125,000-149,999"
134,"50,000-59,999"
136,"30,000-39,999"
137,"30,000-39,999"
140,"150,000-199,999"
143,"3,000-3,999"
144,"7,500-9,999"
155,"50,000-59,999"
157,$0-999
159,$0-999
160,"20,000-24,999"
161,"4,000-4,999"
163,$0-999
164,"100,000-124,999"
165,"3,000-3,999"
173,"2,000-2,999"
178,$0-999
186,$0-999
194,"80,000-89,999"
198,"30,000-39,999"
201,"250,000-299,999"
202,"20,000-24,999"
203,$0-999
204,"3,000-3,999"
206,"80,000-89,999"
208,"90,000-99,999"
211,"150,000-199,999"
213,"30,000-39,999"
214,"4,000-4,999"
220,"125,000-149,999"
224,"1,000-1,999"
230,"3,000-3,999"
238,"$500,000-999,999"
241,"150,000-199,999"
244,"7,500-9,999"
245,"70,000-79,999"
247,"3,000-3,999"
251,"7,500-9,999"
255,$0-999
258,"10,000-14,999"
262,"10,000-14,999"
265,$0-999
268,"7,500-9,999"
269,"30,000-39,999"
270,"10,000-14,999"
272,"15,000-19,999"
274,"100,000-124,999"
279,$0-999
282,"5,000-7,499"
283,"50,000-59,999"
290,"100,000-124,999"
291,"10,000-14,999"
297,"7,500-9,999"
299,"1,000-1,999"
304,"50,000-59,999"
309,$0-999
311,"30,000-39,999"
314,"20,000-24,999"
319,"60,000-69,999"
321,"40,000-49,999"
322,"1,000-1,999"
327,"5,000-7,499"
329,$0-999
331,$0-999
335,"100,000-124,999"
337,$0-999
341,"50,000-59,999"
342,"125,000-149,999"
343,"50,000-59,999"
346,"3,000-3,999"
348,"150,000-199,999"
349,"150,000-199,999"
350,"30,000-39,999"
351,"90,000-99,999"
353,"20,000-24,999"
361,"40,000-49,999"
367,"5,000-7,499"
368,"30,000-39,999"
371,"100,000-124,999"
373,"25,000-29,999"
374,"125,000-149,999"
378,"5,000-7,499"
379,"10,000-14,999"
390,"1,000-1,999"
391,"15,000-19,999"
392,"5,000-7,499"
395,"15,000-19,999"
396,"15,000-19,999"
397,"15,000-19,999"
399,"2,000-2,999"
400,"60,000-69,999"
403,"90,000-99,999"
407,"30,000-39,999"
408,"1,000-1,999"
409,"7,500-9,999"
413,"4,000-4,999"
416,$0-999
418,"40,000-49,999"
419,"20,000-24,999"
421,"40,000-49,999"
426,"60,000-69,999"
427,"5,000-7,499"
434,"25,000-29,999"
435,$0-999
437,"80,000-89,999"
440,"50,000-59,999"
441,"40,000-49,999"
448,$0-999
449,"4,000-4,999"
450,">$1,000,000"
451,"2,000-2,999"
452,"125,000-149,999"
455,"2,000-2,999"
457,$0-999
460,"4,000-4,999"
461,"40,000-49,999"
462,"7,500-9,999"
463,"1,000-1,999"
466,"7,500-9,999"
469,"80,000-89,999"
471,"5,000-7,499"
473,"25,000-29,999"
478,"30,000-39,999"
482,"25,000-29,999"
497,"1,000-1,999"
501,"15,000-19,999"
511,"70,000-79,999"
514,"70,000-79,999"
516,"25,000-29,999"
520,"25,000-29,999"
525,$0-999
526,$0-999
530,"20,000-24,999"
532,"200,000-249,999"
538,"125,000-149,999"
539,"3,000-3,999"
547,"20,000-24,999"
555,"40,000-49,999"
558,"20,000-24,999"
559,"125,000-149,999"
569,"80,000-89,999"
570,"5,000-7,499"
574,"125,000-149,999"
577,$0-999
578,"125,000-149,999"
580,"100,000-124,999"
581,"50,000-59,999"
583,"100,000-124,999"
588,$0-999
592,"2,000-2,999"
593,"250,000-299,999"
594,$0-999
597,"40,000-49,999"
601,"1,000-1,999"
604,"50,000-59,999"
608,"3,000-3,999"
610,$0-999
611,$0-999
612,"4,000-4,999"
613,$0-999
617,"90,000-99,999"
618,"40,000-49,999"
619,$0-999
620,"100,000-124,999"
622,"40,000-49,999"
624,"40,000-49,999"
625,"70,000-79,999"
630,"70,000-79,999"
632,"70,000-79,999"
633,"40,000-49,999"
634,">$1,000,000"
635,"100,000-124,999"
641,"10,000-14,999"
642,"3,000-3,999"
644,"1,000-1,999"
645,"3,000-3,999"
652,"30,000-39,999"
653,"15,000-19,999"
654,"80,000-89,999"
655,"50,000-59,999"
656,"200,000-249,999"
664,"2,000-2,999"
666,$0-999
668,"1,000-1,999"
676,"80,000-89,999"
680,"7,500-9,999"
688,"7,500-9,999"
693,"150,000-199,999"
694,"3,000-3,999"
699,"50,000-59,999"
704,"3,000-3,999"
706,"25,000-29,999"
707,"10,000-14,999"
708,"25,000-29,999"
712,"70,000-79,999"
714,"3,000-3,999"
715,"5,000-7,499"
724,"1,000-1,999"
726,"70,000-79,999"
727,"30,000-39,999"
729,"125,000-149,999"
734,"90,000-99,999"
738,"5,000-7,499"
741,"10,000-14,999"
743,"50,000-59,999"
744,"1,000-1,999"
754,"150,000-199,999"
756,$0-999
762,$0-999
769,"200,000-249,999"
771,$0-999
772,"7,500-9,999"
773,"2,000-2,999"
775,"80,000-89,999"
776,"100,000-124,999"
777,"60,000-69,999"
778,$0-999
779,"5,000-7,499"
780,"25,000-29,999"
781,"7,500-9,999"
782,"2,000-2,999"
786,"1,000-1,999"
787,"5,000-7,499"
788,"60,000-69,999"
792,"100,000-124,999"
794,"30,000-39,999"
798,"150,000-199,999"
806,"2,000-2,999"
812,$0-999
816,"10,000-14,999"
817,"40,000-49,999"
821,"200,000-249,999"
822,"200,000-249,999"
826,"80,000-89,999"
827,"3,000-3,999"
835,"100,000-124,999"
836,"80,000-89,999"
837,"80,000-89,999"
839,$0-999
841,"15,000-19,999"
842,"2,000-2,999"
844,"80,000-89,999"
852,"90,000-99,999"
857,"50,000-59,999"
858,"25,000-29,999"
859,"25,000-29,999"
862,"10,000-14,999"
867,"100,000-124,999"
868,"25,000-29,999"
874,"10,000-14,999"
875,$0-999
876,"30,000-39,999"
878,"20,000-24,999"
879,$0-999
882,"10,000-14,999"
886,"7,500-9,999"
887,"70,000-79,999"
888,$0-999
894,$0-999
896,"5,000-7,499"
897,"70,000-79,999"
900,"100,000-124,999"
910,"7,500-9,999"
912,"4,000-4,999"
914,"80,000-89,999"
918,"7,500-9,999"
919,"20,000-24,999"
923,"40,000-49,999"
924,$0-999
927,"$500,000-999,999"
928,"7,500-9,999"
930,"25,000-29,999"
933,"80,000-89,999"
936,$0-999
937,"70,000-79,999"
940,"7,500-9,999"
946,"150,000-199,999"
949,$0-999
950,"90,000-99,999"
953,"90,000-99,999"
955,"25,000-29,999"
956,"30,000-39,999"
958,"5,000-7,499"
959,"40,000-49,999"
960,"100,000-124,999"
961,$0-999
963,"30,000-39,999"
964,"4,000-4,999"
966,"50,000-59,999"
967,"5,000-7,499"
968,"5,000-7,499"
971,$0-999
974,$0-999
975,$0-999
976,"200,000-249,999"
977,"20,000-24,999"
980,"125,000-149,999"
985,"200,000-249,999"
987,"30,000-39,999"
993,"60,000-69,999"
994,"70,000-79,999"
996,$0-999
999,"60,000-69,999"
1004,$0-999
1006,"5,000-7,499"
1010,"7,500-9,999"
1011,"7,500-9,999"
1015,"5,000-7,499"
1017,"70,000-79,999"
1019,"10,000-14,999"
1020,"125,000-149,999"
1023,"40,000-49,999"
1027,"20,000-24,999"
1035,"4,000-4,999"
1044,$0-999
1046,"40,000-49,999"
1048,"1,000-1,999"
1052,"5,000-7,499"
1060,"150,000-199,999"
1061,"1,000-1,999"
1064,$0-999
1068,"5,000-7,499"
1069,"25,000-29,999"
1070,$0-999
1073,"50,000-59,999"
1074,$0-999
1081,"150,000-199,999"
1083,"5,000-7,499"
1084,"40,000-49,999"
1091,"60,000-69,999"
1093,"10,000-14,999"
1094,"5,000-7,499"
1098,"50,000-59,999"
1099,"90,000-99,999"
1101,"15,000-19,999"
1104,"60,000-69,999"
1105,"1,000-1,999"
1111,$0-999
1112,"80,000-89,999"
1113,"1,000-1,999"
1119,"50,000-59,999"
1123,"7,500-9,999"
1125,"15,000-19,999"
1128,"150,000-199,999"
1129,"50,000-59,999"
1130,"80,000-89,999"
1134,"25,000-29,999"
1137,"2,000-2,999"
1138,"3,000-3,999"
1139,"1,000-1,999"
1142,"1,000-1,999"
1147,"20,000-24,999"
1150,"60,000-69,999"
1152,"200,000-249,999"
1157,"50,000-59,999"
1158,"1,000-1,999"
1166,"10,000-14,999"
1168,$0-999
1172,"40,000-49,999"
1173,">$1,000,000"
1174,"40,000-49,999"
1175,$0-999
1177,"40,000-49,999"
1178,"50,000-59,999"
1179,"90,000-99,999"
1181,"1,000-1,999"
1189,"100,000-124,999"
1190,"50,000-59,999"
1195,"100,000-124,999"
1197,"2,000-2,999"
1198,"50,000-59,999"
1201,"30,000-39,999"
1202,"1,000-1,999"
1208,"70,000-79,999"
1215,$0-999
1220,"90,000-99,999"
1228,"2,000-2,999"
1238,$0-999
1243,"1,000-1,999"
1251,"20,000-24,999"
1256,$0-999
1260,"10,000-14,999"
1263,"80,000-89,999"
1265,"40,000-49,999"
1266,"10,000-14,999"
1268,"30,000-39,999"
1270,"40,000-49,999"
1272,$0-999
1275,"30,000-39,999"
1276,"100,000-124,999"
1278,"3,000-3,999"
1280,"7,500-9,999"
1281,"125,000-149,999"
1286,$0-999
1290,"30,000-39,999"
1293,$0-999
1294,"10,000-14,999"
1296,"30,000-39,999"
1300,"70,000-79,999"
1301,"3,000-3,999"
1304,"20,000-24,999"
1306,"40,000-49,999"
1309,"20,000-24,999"
1311,$0-999
1313,"25,000-29,999"
1315,"50,000-59,999"
1322,"50,000-59,999"
1329,"60,000-69,999"
1330,"30,000-39,999"
1333,$0-999
1334,"100,000-124,999"
1335,$0-999
1337,"15,000-19,999"
1339,"80,000-89,999"
1340,"100,000-124,999"
1354,$0-999
1355,"7,500-9,999"
1359,"70,000-79,999"
1360,"15,000-19,999"
1363,"70,000-79,999"
1364,"4,000-4,999"
1367,"125,000-149,999"
1369,$0-999
1375,"1,000-1,999"
1376,"40,000-49,999"
1383,"2,000-2,999"
1385,"50,000-59,999"
1391,"40,000-49,999"
1394,"7,500-9,999"
1396,"3,000-3,999"
1403,"7,500-9,999"
1406,"100,000-124,999"
1411,$0-999
1413,"40,000-49,999"
1414,"10,000-14,999"
1416,"3,000-3,999"
1418,"30,000-39,999"
1422,"60,000-69,999"
1423,"125,000-149,999"
1424,"80,000-89,999"
1428,$0-999
1430,"50,000-59,999"
1433,"1,000-1,999"
1434,"25,000-29,999"
1441,$0-999
1447,$0-999
1452,"1,000-1,999"
1456,$0-999
1463,"60,000-69,999"
1469,"7,500-9,999"
1470,"30,000-39,999"
1471,"100,000-124,999"
1472,"150,000-199,999"
1473,"40,000-49,999"
1476,"90,000-99,999"
1479,"1,000-1,999"
1485,"50,000-59,999"
1492,$0-999
1495,$0-999
1500,"3,000-3,999"
1502,"50,000-59,999"
1505,"5,000-7,499"
1506,"150,000-199,999"
1516,$0-999
1518,"100,000-124,999"
